unitid,parent_instnm,locationtype,g_location,address,opeid,fips,sector,control,c21basic,instnm,cipcode,awlevel,ctotalt
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,513801,3,230
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,510908,3,49
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,500408,3,41
137209,Seminole State College of Florida,Additional Location,Branch Campus,"2505 Lockwood Blvd, Oviedo, FL 32765",00152000,12,1,1,23,Seminole State College of Florida,510904,3,36
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,460303,2,19
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,510904,2,19
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,120401,2,13
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,240101,3,215
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,513801,3,64
137315,South Florida State College,Additional Location,Branch Campus,"1957 US 98, Lorida, FL 33857",00152200,12,1,1,23,South Florida State College,510911,3,10
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,513901,2,43
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,510904,2,40
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,110202,2,22
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,240101,3,956
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,513801,3,121
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,110201,3,23
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,111003,3,15
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,220302,3,12
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"36727 Blanton Rd, Dade City, FL 33523-7599",01065200,12,1,1,23,Pasco-Hernando State College,520201,3,12
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,513901,2,43
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,510904,2,40
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,110202,2,22
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,240101,3,956
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,513801,3,121
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,110201,3,23
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,111003,3,15
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,220302,3,12
136400,Pasco-Hernando State College,Additional Location,Branch Campus,"11415 Ponce de Leon Blvd, Brooksville, FL 34601-8698",01065200,12,1,1,23,Pasco-Hernando State College,520201,3,12
